institution_id,institution_id,person_id,project_count
10085.0,10085.0,1419839,7
10085.0,10085.0,1536620,7
10086.0,10086.0,1048688,3
10087.0,10087.0,1546436,3
10087.0,10087.0,1286958,3
10087.0,10087.0,59512696,4
10087.0,10087.0,1820174,4
10087.0,10087.0,1679282,4
10087.0,10087.0,1669369,4
10087.0,10087.0,1451441,5
10087.0,10087.0,1659417,5
10087.0,10087.0,1572008,5
10087.0,10087.0,1129796,7
10088.0,10088.0,1384366,2
10088.0,10088.0,1023476,2
10088.0,10088.0,1360713,2
10088.0,10088.0,1242241,3
10088.0,10088.0,1049185,3
10088.0,10088.0,1032600,3
10088.0,10088.0,1401110,3
10088.0,10088.0,1280429,6
10088.0,10088.0,1968542,6
10088.0,10088.0,988383,12
10091.0,10091.0,174984602,1
10091.0,10091.0,87631766,1
10091.0,10091.0,32827499,1
10091.0,10091.0,21584213,1
10091.0,10091.0,17589209,1
10091.0,10091.0,1874989,1
10091.0,10091.0,46997872,2
10091.0,10091.0,1602794,3
10091.0,10091.0,1427020,6
10091.0,10091.0,1077076,16
10092.0,10092.0,6080,1
10092.0,10092.0,163364623,1
10092.0,10092.0,200841077,1
10092.0,10092.0,39952542,1
10092.0,10092.0,1829039,2
10092.0,10092.0,178871250,3
10092.0,10092.0,1463672,3
10092.0,10092.0,13676480,3
10092.0,10092.0,1699943,5
10092.0,10092.0,1012620,7
10095.0,10095.0,1289321,1
10095.0,10095.0,1394775,1
10095.0,10095.0,1414072,4
10096.0,10096.0,1870236,1
10096.0,10096.0,191681144,1
10096.0,10096.0,24532535,3
10096.0,10096.0,1521858,3
10097.0,10097.0,1729187,6
10097.0,10097.0,59450557,6
10097.0,10097.0,1076426,7
10097.0,10097.0,988690,7
10097.0,10097.0,1239297,7
10097.0,10097.0,1433120,7
10097.0,10097.0,122185802,7
10097.0,10097.0,1267788,8
10097.0,10097.0,1074890,9
10097.0,10097.0,1704450,9
10099.0,10099.0,265545010,1
10099.0,10099.0,249089014,1
10099.0,10099.0,211197784,1
10099.0,10099.0,1609784,1
10099.0,10099.0,1537515,1
10099.0,10099.0,1838248,2
10099.0,10099.0,1622834,2
10099.0,10099.0,1290957,3
10099.0,10099.0,1394115,6
10100.0,10100.0,208129939,2
10100.0,10100.0,116325540,2
10100.0,10100.0,1348967,2
10100.0,10100.0,1443707,3
10100.0,10100.0,1011382,3
10100.0,10100.0,1824062,5
10100.0,10100.0,1714118,5
10100.0,10100.0,1725354,5
10100.0,10100.0,1097606,8
10100.0,10100.0,1272138,8
10101.0,10101.0,267437029,1
10101.0,10101.0,195638442,1
10101.0,10101.0,109075857,1
10101.0,10101.0,1648354,1
10101.0,10101.0,1088125,1
10101.0,10101.0,1053311,2
10101.0,10101.0,80709198,3
10101.0,10101.0,1658376,3
10101.0,10101.0,1124900,4
10101.0,10101.0,1042889,5
10102.0,10102.0,1099411,1
10102.0,10102.0,1708214,2
10102.0,10102.0,1543734,2
10102.0,10102.0,1436011,2
10102.0,10102.0,1087234,2
10102.0,10102.0,1417425,3
10102.0,10102.0,1751082,4
10102.0,10102.0,1386365,4
10102.0,10102.0,1143586,5
10102.0,10102.0,1430550,9
10106.0,10106.0,224922972,1
10106.0,10106.0,1633320,1
10106.0,10106.0,1590062,1
10106.0,10106.0,1142737,1
10106.0,10106.0,76510249,3
10107.0,10107.0,283963776,1
10107.0,10107.0,1981014,2
10108.0,10108.0,1123263,17
10108.0,10108.0,1774982,17
10108.0,10108.0,1799519,18
10108.0,10108.0,1467289,18
10108.0,10108.0,1260086,19
10108.0,10108.0,1229424,19
10108.0,10108.0,1033332,20
10108.0,10108.0,1039762,21
10108.0,10108.0,1396232,21
10108.0,10108.0,1195719,22
10110.0,10110.0,159808660,2
