,person_id,name,first_name,gender
126,1739503,professor dr. axel voigt,axel,M
127,1342836,professor dr. siegfried grundmann,siegfried,M
128,161497261,"professor dr. jan beyersmann, ph.d.","beyersmann,",
129,1782157,dr. stefan kesting,stefan,M
130,258044,professor dr. h.-d. korting,h.-d.,
131,1201197,professor dr. dietmar neutatz,dietmar,M
132,30143120,privatdozent dr. derk frank,derk,M
133,12386368,professor dr. holger stark,holger,M
134,278432815,professor dr. jens rottmann-matthes,jens,M
135,1421055,dr. frank müller,frank,M
136,169801653,dr. manuela böhm,manuela,F
137,1721350,professorin dr. christa e. müller,e.,
138,1719041,professor dr.-ing. burkhard corves,burkhard,M
139,246559687,professor chaozhong li,chaozhong,
140,16543142,dr. lutz wiehlmann,lutz,M
141,1753959,privatdozentin dr. corina schmidt,corina,F
142,17404541,professor dr. stefan haacke,stefan,M
143,263071340,professor dr. christian kühn,christian,M
144,1370623,professor dr. matthias fuchs,matthias,M
145,1405714,privatdozentin dr. barbara tzschentke,barbara,F
146,1723390,"professorin doris fuchs, ph.d.","fuchs,",
147,63628433,dr.-ing. stephan bichmann,stephan,M
148,1817247,dr. sven gläsker,sven,M
149,1683828,dr. stefan heilmann,stefan,M
150,1378917,dr. michael bärmann,michael,M
151,1200922,professor dr. joseph neulen,joseph,M
152,1963838,professor dr. klaus sandmann,klaus,M
153,193799029,"professor dr. frank hutter, ph.d.","hutter,",
154,1837571,dr. lars kaestner,lars,M
155,1539232,professor dr. dieter sturma,dieter,M
156,1201528,professor dr. james h. nebelsick,h.,
157,221782717,dr. igor kagan,igor,M
158,1020899,professor dr.-ing. hans-jörg bullinger,hans-jörg,
159,167535289,privatdozentin dr. tanja mehlstäubler,tanja,F
160,1555648,professor dr. ingfried zimmermann,ingfried,M
161,1944877,dr. marcello bonsangue,marcello,M
162,1377702,professor dr. frank riedel,frank,M
163,1774971,professor dr.-ing. julien weiss,julien,M
164,1672798,professor dr. thomas keller,thomas,M
165,1033935,professor dr. heinz dimigen,heinz,M
166,59204847,dr. anne dyer,anne,F
167,263978257,dr. silva p. järvinen,p.,
168,234488566,privatdozent dr. markus lampe,markus,M
169,92824827,professor dr. don lowe,don,?
170,1649108,dr. hermann kudraß,hermann,M
171,1730787,dr. jürgen theiss,jürgen,
172,199875769,dr. inga hänelt,inga,F
173,1586328,professorin dr. kirsten scheiwe,kirsten,F
174,20886043,dr. hendrik sager,hendrik,M
175,1425515,professor dr. stephan förster,stephan,M
